Ransomware dataset,,,,,,,,,
,,,,,,,,,
Company,Sector,Short description,Consequences,Ransom cost,Was ransom paid?,Date,Location,Group behind attack,Source
Binion's Casino,entertainment ,casino ,unable to trade in anything other than cash and affecting some of the slot machines.,Not communicated,Not communicated,Mar-20,USA,Not communicated,https://securityboulevard.com/2020/03/two-las-vegas-casinos-may-have-been-crippled-by-ransomware-attacks/
Randleman Eye Center ,healthcare,professional eye care services including full vision exams for both adult and pediatric patients,"affected data may include first and last name, date of birth, gender, and digital retinal images.",Not communicated,Not communicated,Mar-20,USA,Not communicated,https://www.databreaches.net/nc-randleman-eye-center-discloses-malware-attack/
LTI Power Systems ,manufacturer,manufacturer of Uninterruptible Power Supplies (UPS). ,hackers got access schematics and drawings related to Ameren’s operations at two power plants,Not communicated,Not communicated,Mar-20,USA,Not communicated,https://www.insurancebusinessmag.com/us/news/cyber/energy-company-supplier-suffers-ransomware-attack-218063.aspx
COGNIZANT,Technology ,IT services provider,"legal and consultation costs and data recovery costs, along with the financial loss reflected in their second-quarter earnings in 2020. Double extortion was used",$50-70 million,No,Apr-20,,Maze,https://www.zdnet.com/article/cognizant-expects-to-lose-between-50m-and-70m-following-ransomware-attack/
Communications & Power Industries (CPI),manufacturer," major electronics manufacturer for defense and communications markets, makes components for military devices and equipment, like radar, missile seekers and electronic warfare technology. ",computers afected contained sensitive military data ,"$500,000",Yes,Apr-20,USA,Not communicated,https://usa.kaspersky.com/resource-center/threats/top-ransomware-2020
Energias de Portugal ransomware attack ,energy ,the biggest energy company in Portugal and one of the largest wind power operators in the world,"The attackers claimed to have stolen over 10TB of sensitive company data, billing information, copies of contracts, transaction documents and private communications with partners and clients ",$10 million,Not communicated,Apr-20,portugal ,Ragnarok,https://www.cpomagazine.com/cyber-security/ransomware-attack-on-portuguese-energy-company-edp-shows-increasing-trend-toward-public-leaking-of-sensitive-information/
Danish Agro,agriculture,Agribusiness group,computer systems were hacked ,Not communicated,No,Apr-20,Denmark,Not communicated,https://landbrugsavisen.dk/hackerangreb-kostede-danish-agro-tocifret-millionbeløb
Zaha Hadid Architects,architecture,architectural firm,unknown data was stolen ,Not communicated,No,Apr-20,UK,Not communicated,https://www.dezeen.com/2020/04/28/zaha-hadid-architects-suffers-cyber-attack-during-coronavirus-lockdown/
CivicSmart,Technology ,sells “smart” parking meters and technology used by parking-enforcement agencies in cities around the world,"159 gigabytes of data taken, attack that also exposed some of its internal files",Not communicated,Yes,Apr-20,USA,REvil,https://statescoop.com/smart-parking-meter-vendor-data-stolen-ransomware-attack/
ExecuPharm,healthcare,US pharmaceutical giant,"Social Security numbers, financial information, driver licenses, passport numbers and other sensitive data has been published",Not communicated,No,Apr-20,USA,Clop,https://techcrunch.com/2020/04/27/execupharm-clop-ransomware/?guccounter=1
10x Genomics ,healthcare,biotechnology company that designs and manufactures gene sequencing technology used in scientific research. Also a COVID-19 research facility ,company was able to isolate the source of the attack and restore normal business operations without a daily impact to the firm’s ability to access its data.,Not communicated,Not communicated,Apr-20,USA,REvil,https://www.reuters.com/article/brief-10x-genomics-faced-an-attempted-ra-idUSFWN2BP1H0
Brandywine Urology Consultants ,healthcare,"highly trained and experienced in treating all varieties of urologic cancers; Adrenal, Bladder, Kidney, Prostate, Testicular, and Urethral.","More than 131,000 patients’ protected health information (PHI) compromised, including their contact details and other extremely sensitive pieces of personal information. ",Not communicated,Not communicated,Apr-20,USA,Not communicated,https://www.itgovernance.co.uk/blog/list-of-data-breaches-and-cyber-attacks-in-april-2020-216-million-records-breached
GRUBMAN SHIRE MEISELAS & SACKS ,Law,"law for those in the media and entertainment industry. Their clients consist of a range of A-list celebrities and, with such high profile individuals on the line, the stakes for them were extremely high","The stolen data were put up for auction, with Madonna’s information sold at a base price of $1 million. This incident caused significant damage to the reputation of the law firm.","$365,000",Yes,May-20,USA,REvil,https://www.pentasecurity.com/blog/security-weekly-revil-prominent-law-firm-trump/
Fresenius,healthcare provider,Europe’s largest private hospital operator and a major provider of dialysis products and service,says that the cyber incident did not impact any of its patient care services as its dialysis services were functioning on full swing.,Not communicated,Not communicated,May-20,Germany,Snake(ekans),https://krebsonsecurity.com/2020/05/europes-largest-private-hospital-operator-fresenius-hit-by-ransomware/
Pitney Bowes,Technology ,"known for its postage meters and other mailing equipment and services, and with expansions into e-commerce, software, and other technologies, hit by second attack 7 months later ","data stolen included personnal information, financial forecasts, and annual reports.",Not communicated,Not communicated,May-20,USA,Maze,https://www.zdnet.com/article/package-delivery-giant-pitney-bowes-confirms-second-ransomware-attack-in-7-months/
Elexon,supplier,organisation that helps balance and settle the UK’s electricity market,documents include a cyber insurance policy and passports.,Not communicated,Not communicated,May-20,UK,REvil,https://techmonitor.ai/technology/cybersecurity/elexon-hack-ransomware-revil
Diebold Nixdorf,Technology ,major OHIO provider ATMs and payment technology,disconnected systems on the affected network to contain the malware,Not communicated,No,May-20,USA,Not communicated,https://www.finextra.com/newsarticle/35822/diebold-nixdorf-hit-by-ransomware-attack
Magellan Health,healthcare,"Fortune 500 major US healthcare provider based in Phoenix, Arizona, falling for a phishing email that appeared to be from a client. ","Logins, personal information and tax info were all exfiltrated",Not communicated,Not communicated,May-20,USA,Not communicated,https://www.globalsign.com/en/blog/cyber-autopsy-series-phishing-attack-magellan-health
Bam Construct,construction,"leading construction, facilities management and property developer ","closed access to a number of systems, including its website, as a precaution",Not communicated,Not communicated,May-20,UK,Not communicated,https://www.building.co.uk/news/interserve-and-bam-latest-firms-to-suffer-cyber-attacks/5105984.article
Conduent ,Technology ,multi-billion-dollar IT services firm,stolen financial data from the firm,Not communicated,Not communicated,May-20,USA,Maze,https://www.infosecurity-magazine.com/news/it-services-firm-conduent-felled/
MJ Payne Ltd.,finance,a firm of local Chartered Certified Accountants,operators posted screencaps that purport to be from MJ Payne’s directory,Not communicated,Not communicated,May-20,UK,REvil,https://www.databreaches.net/london-accounting-firm-attacked-by-sodinokibi-operators/
Dakota Carrier Network ,Technology ,"IT solutions provider that focuses on delivering fiber-based carrier Ethernet, data center, and Internet services ...","idata leaked included nvoices, payroll information, vendor lists, password-reset requests and customer profiles, though no sensitive personal information like Social Security numbers appears to have been exposed.",Not communicated,Not communicated,May-20,USA,Maze,https://www.itgovernance.co.uk/blog/list-of-data-breaches-cyber-attacks-may-2020
PeroxyChem ,manufacturer,"leading global manufacturer of persulfates, innovative remediation technologies and adjacent chemistries.","data leak of around 2.5GB which includes sensitive and financial documents of the company such as the company’s Sales forecasts documents, customer’s records, and many more.",Not communicated,Not communicated,May-20,USA,Maze,https://www.itgovernance.co.uk/blog/list-of-data-breaches-cyber-attacks-may-2020
"Kristin J. Tarbet, MD",healthcare,plastic surgery ,"One spreadsheet containing 39,000 entries of patient appointments, others contained full names, appointment lengths, types, and purposes, provider comments, and dates of birth. Other posted files contained patient contact information, Social Security number and other sensitive data.",Not communicated,Not communicated,May-20,USA,Maze,https://www.databreaches.net/without-undue-delay-part-1-update-on-earlier-ransomware-cases/
Maxwell Aesthetics,healthcare,plastic surgery ," leaked files with protected health information of patients including name, date of birth, diagnostic information, type of surgery, and in some cases, health insurance information such as the patient’s policy number.",Not communicated,Not communicated,May-20,USA,Maze,https://www.itgovernance.co.uk/blog/list-of-data-breaches-cyber-attacks-may-2020
Stadler ,manufacturer," manufacturer of railway rolling stock, with an emphasis on regional train multiple units and trams.",4GB of information has been published relating to loans and bank contracts as well as a tax agreement with the canton of Thurgau and a construction project in Altenrhein,$6 million in Bitcoin,No,May-20,Switzerland,Nefilim,https://www.computing.co.uk/news/4014996/stadler-network-suffers-malware-attack
Westech International ,Defence ,"US defense subcontractor that provides critical technical, logistical, and operational support services for LGM-30 Minuteman III, a three-stage intercontinental ballistic missile (ICBM) designed for nuclear weapons delivery","access sensitive employee information, not known whether hackers were able to access the company’s military classified information",Not communicated,Not communicated,Jun-20,USA,Maze,https://threatpost.com/nuclear-contractor-maze-ransomware-data-leaked/156289/
Xerox ,Technology ,corporation that sells print and digital document products and services in more than 160 countries.,"26GB of data stolen were published on the data leak site related to customer support, involving the personal information of employees and potential customers.",Not communicated,No,Jun-20,USA,Maze,https://www.pentasecurity.com/blog/security-weekly-canon-service-outage-ransomware/
Honda,manufacturer,car manufacturer ,"no data breach detected, work at the UK plant has been halted alongside a suspension of other operations in North America, Turkey, Italy and Japan.",Not communicated,Not communicated,Jun-20,USA/Europe,Snake(ekans),https://www.cpomagazine.com/cyber-security/honda-ransomware-attack-a-lesson-in-segmentation/
Vard,manufacturer,shipbuilder,"paid $5,500,000 to fraudulent recovery company to recover the data stolen by attackers",Not communicated,Not communicated,Jun-20,Norway,Maze,https://www.databreaches.net/more-drama-in-the-world-of-ransomware-was-vard-group-victimized-twice/
Threadstone Advisors ,mergers and acquisitions ,"corporate advisory firm specialising in mergers ‘n’ acquisitions. List of clients of the firm includes Victoria Beckham, Charles S. Cohen, Pittsburgh Brewing Co., Harrys of London, and Xcel Brands. ",stole sensitive files containing data about the firm's clients,Not communicated,Not communicated,Jun-20,USA,Maze,https://securityaffairs.co/wordpress/104718/cyber-crime/threadstone-advisors-maze-ransomware.html
Enel Group,energy,"european energy giant, second attack of 2020",data has been stolen during the attack,$14 million,Not communicated,Oct-20,Italy,NetWalker ,https://www.bleepingcomputer.com/news/security/enel-group-hit-by-ransomware-again-netwalker-demands-14-million/
Enel Group,energy,european energy giant ,attempt was caught before the malware could spread.,Not communicated,Not communicated,Jun-20,Italy,Snake(ekans),https://www.bleepingcomputer.com/news/security/enel-group-hit-by-ransomware-again-netwalker-demands-14-million/
ConnectWise,Technology ,leading software company for IT solution providers. ,attempt was caught before the malware could spread.,Not communicated,Not communicated,Jun-20,USA,Not communicated,https://www.cybersecurity-insiders.com/ransomware-attack-on-connectwise/
Excis,Technology ,global IT services company and excel in cross-border IT services.,two archives of data available to the public to download but not the passwords which they threaten to release if demands are not met.,Not communicated,Not communicated,Jun-20,UK,Sekhmet,https://www.databreaches.net/sekhmet-ransomware-team-claims-to-have-hit-international-it-firm-very-hard/
Digital Management Inc. (DMI),Technology ,"one of NASA's IT contractors, company that provides managed IT and cyber-security services on demand.",20 archive files (included NASA related ones) posted on a dark web portal the group is operating. ,Not communicated,Not communicated,Jun-20,USA,DoppelPaymer,https://www.zdnet.com/article/ransomware-gang-says-it-breached-one-of-nasas-it-contractors/
"Electronic Waveform Lab, Inc",manufacturer,"manufacturer of a multi-functional electrical stimulation device intended to speed recovery, restore function, and manage chronic, acute or post-operative pain.","information stored on the affected servers includes names, addresses, diagnosis codes, and limited treatment information.",Not communicated,Not communicated,Jun-20,USA,Maze,https://blog.cyble.com/2020/04/16/maze-ransomware-operators-breached-electronic-waveform-lab-oman-electronics-and-trading-company-and-wrs-environmental-services/
Garmin ,Technology ,ransomware operators encrypted Garmin’s corporate network and portions of its production systems.,"Garmin Connect was down so that users of its smartwatches and wearables could no longer sync data with the servers. FlyGarmin was also disabled, meaning that pilots could not download the latest updates for their airplane navigation systems and receive weather information and position reports as required by the FAA",$10 million,Yes,Jul-20,Switzerland,WastedLocker,https://www.pentasecurity.com/blog/security-weekly-garmin-ransomware/
Orange,Technology ,telecommunications company and Europe’s fourth largest mobile operator ,339MB archive was leaked,Not communicated,Not communicated,Jul-20,France,Nefilim,https://www.forbes.com/sites/daveywinder/2020/07/17/orange-europes-fourth-largest-mobile-operator-confirms-ransomware-attack-nefilim-data-theft/?sh=595ac04d4780
Blackbaud,Technology ,cloud computing provider/Computer software company,"customers' data was leaked, did not include credit card information, bank account information, or social security numbers",Not communicated,Yes,Jul-20,USA,Not communicated,https://www.computerweekly.com/news/252486910/List-of-Blackbaud-breach-victims-tops-120
Xchanging,Technology ,"Xchanging offers IT services and business process outsourcing to aerospace, banking, defence, and insurance firms",no loss of DXC or Xchanging customer data; “certain systems” of the IT environment had fallen victim to ransomware.,Not communicated,Not communicated,Jul-20,UK,Not communicated,https://www.theregister.com/2020/07/30/dxc_ransomware_attack/
Collabera  ,Technology ,IT staffing firm,"accessed Collabera employees’ names, addresses and other personal information and infect its systems during the cyberattack.",Not communicated,Not communicated,Jul-20,USA,Maze,https://www.msspalert.com/cybersecurity-breaches-and-attacks/ransomware/maze-staffing-firm-collabera/
New Hampshire Radio,entertainment ,public radio network,"personal information, including credit card and bank accounts of contributors, was not accessed",Not communicated,Not communicated,Jul-20,UK,Maze,https://patch.com/new-hampshire/concord-nh/new-hampshire-public-radio-hit-ransomware-attack
SiteOne,supplier,largest national wholesale distributor of landscape supplies ,"thanks to cyberinsurance, has recovered all of its critical operational data, ""and the incident has not had a significant impact on the company’s business operations or ability to service its customers",Not communicated,Not communicated,Jul-20,USA,Not communicated,https://www.bizjournals.com/atlanta/news/2020/07/28/atlantas-siteone-landscape-supply-hit-with-ransom.html?ana=RSS&s=article_search
Dussmann Group,services provider,Germany's Largest Private Multi-Service Provide,"After the attack the criminal group began posting 16,000 files to the Dark Web as proof of the attack.",Not communicated,Not communicated,Jul-20,Germany,Nefilim,https://www.tripwire.com/state-of-security/security-data-protection/dussman-group-subsidiary-struck-by-ransomware-that-leaked-its-data/
CNY Works ,services provider,employment centre,"the names and Social Security numbers of 56,000 people who have used the nonprofit agency’s services to find jobs",Not communicated,Not communicated,Jul-20,USA,Not communicated,https://www.govtech.com/security/ny-employment-nonprofit-client-data-potentially-exposed.html
Lorien Health Services,services provider,"senior care services such as skilled nursing, rehabilitation, and assisted living services","personal information had been accessed may have included residents’ names, Social Security numbers, dates of birth, addresses, and health diagnosis and treatment information",Not communicated,Not communicated,Jul-20,USA,Netwalker,https://www.bleepingcomputer.com/news/security/lorien-health-services-discloses-ransomware-attack-affecting-nearly-50-000/
LG Electronics,Technology ,electronics company,"50GB of proprietary information data stolen for projects that involve big U.S. Companies. Attack only conducted on Smart TVs, with quadruple extortion as attackers were asking for $500 individual ransoms to unlock TV ",Not communicated,No,Aug-20,USA,Maze,https://www.cybersecurity-insiders.com/lg-smart-televisions-hit-by-ransomware/
Xerox ,Technology ,electronics company,"26GB of leaked data related to customer support, involving the personal information of employees and potential customers.",Not communicated,No,Aug-20,USA,Maze,https://www.zdnet.com/article/ransomware-gang-publishes-tens-of-gbs-of-internal-data-from-lg-and-xerox/
R1 RCM Inc,Technology ,one of the biggest medical debt collection companies in the US. They contract with more than 750 US healthcare organizations and handle the personal and health-related data of tens of millions of patients,"data compromised may have included access to patient registration information, billing and collections data, and medical diagnostics data, among other sensitive patient information. ",Not communicated,Not communicated,Aug-20,USA,Defray,https://healthitsecurity.com/news/ransomware-attack-impacts-medical-debt-collections-firm-r1-rcm
CWT,travel management,travel management company,"hackers are also alleged to have stolen reams of sensitive corporate files, although the company denies it.",$4.5 million ransom ,Yes,Aug-20,Netherlands,Ragnar Locker,https://siliconangle.com/2020/08/02/travel-management-company-cwt-hands-4-5m-following-ransomware-attack/
Boyce Technologies,manufacturing,manufacturer of transit communication systems that pivoted to build ventilators during the COVID-19 pandemic,"iles of the data stolen during the attack, including sales and purchase orders, assignment forms, among others.",undisclosed crypto ransom,Not communicated,Aug-20,USA,DoppelPaymer,https://cointelegraph.com/news/ransomware-threatens-production-of-300-ventilators-per-day
Cornerstone Building Brands,manufacturing,window manufacturer ,"it carries insurance, including cyber insurance, which enabled the company to recover many of its critical operational data and business systems.
",Not communicated,No,Aug-20,USA,Not communicated,https://wraltechwire.com/2020/08/12/cary-based-cornerstone-building-brands-confirms-ransomware-attack/
Carnival,cruise operator,world’s largest cruise line operator ,the security event included unauthorized access to personal data of guests and employees,Not communicated,Not communicated,Aug-20,USA,Not communicated,https://www.bleepingcomputer.com/news/security/worlds-largest-cruise-line-operator-carnival-hit-by-ransomware/
MA LABS,distributor ,computer component distributors,"the attack affected more than 1,000 servers, ransomware gang claim to have exfiltrated 949 gigabytes of confidential information from the central servers of the company including bank account and credit card numbers, tax identification numbers, social security numbers and potentially driver‘s licenses.",Not communicated,Not communicated,Aug-20,USA,REvil,https://www.crn.com/news/security/ma-labs-ransomware-attack-shakes-up-components-industry
British Dental Association ,healthcare,registered trade union for dentists in the United Kingdom,data compromised includes personal information and member's account numbers and sort codes,Not communicated,Not communicated,Aug-20,UK,RYUK,https://www.teiss.co.uk/british-dental-association-hack/
Canon USA,manufacturer,"multinational corporation specialising in optical, imaging, and industrial products, such as lenses, cameras, medical equipment, scanners, printers, and semiconductor manufacturing equipment.","threat actor had accessed its file servers that also hosted information about current and former employees from 2005 to 2020 and their beneficiaries and dependents, and stole 10 terabytes of data (dob, driving licenses, social security number…)",Not communicated,Not communicated,Aug-20,USA,Maze,https://www.bleepingcomputer.com/news/security/canon-confirms-ransomware-attack-in-internal-memo/
Jack Daniel’s ,food & beverage,brand of Tennessee whiskey.,"1 terabyte of information extracted from the distiller after hacking into the company’s internal networks, and provided a link to its online data-leak site.",Not communicated,No,Aug-20,USA,REvil,https://www.bloomberg.com/news/articles/2020-08-14/brown-forman-was-target-of-apparent-ransomware-attack
Ventura Orthopedics ,healthcare,"one of the oldest group practices in California, the physicians, physician assistants, therapists","1,850 files published  which included patients’ files/records, lab/diagnostic reports, patients’ name, date of birth, medications, and laboratory findings/results.",Not communicated,No,Aug-20,USA,Maze,https://www.databreaches.net/ventura-orthopedics-hit-by-ransomware-weeks-ago-some-patient-data-dumped/
Amphastar Pharmaceuticals ,healthcare,"speciality pharmaceutical company that primarily develops, manufactures, and sells inhalation and intranasal products.","information that was involved included first and last name, and Social Security Number.",Not communicated,No,Aug-20,USA,DoppelPaymer,https://oag.ca.gov/system/files/Amphastar%20Sample%20Individual%20Notification%20Letter%20%28CA%29%20%28082720%29.pdf
Cygilant ,cybersecurity,cybersecurity and threat detection,In a statement their CFO confirmed that the attack had impacted a portion of the company’s technology environment. screenshots of internal network files and directories were leaked ,Not communicated,Not communicated,Sep-20,USA,NetWalker ,https://techcrunch.com/2020/09/03/cygilant-ransomware/
Equinix,Technology ,data centre giant ,"only internal systems affected, incident would have had no impact on their operations, and the data on their equipment",Not communicated,Not communicated,Sep-20,USA,Not communicated,https://www.techradar.com/news/equinix-hit-by-ransomware-attack
Artech Information Systems,Technology ,IT staffing companies,337MB of data leaked ,Not communicated,Not communicated,Jan-20,USA,REvil,https://www.bleepingcomputer.com/news/security/us-staffing-firm-artech-discloses-ransomware-attack-data-breach/
Artech Information Systems,Technology ,"IT staffing companies, second ransomware attack in nine months"," uploaded a zip file of data it claims to have stolen from Artech, secondary ransomware attacks typically stem from improper resolution of the initial attack, leaving the system an easy target for another group.",Not communicated,Not communicated,Sep-20,USA,Maze,https://community.webroot.com/tech-talk-7/cyber-news-rundown-september-2020-345191
IPG Photonics ,healthcare,"leading developer of fibre lasers for cutting, welding, medical use, and laser weaponry","shut down the IT systems worldwide, affecting email, phones, and network connectivity in the offices.",Not communicated,Not communicated,Sep-20,USA,RansomExx,https://www.bleepingcomputer.com/news/security/leading-us-laser-developer-ipg-photonics-hit-with-ransomware/
Tyler Technologies,Technology ,the largest provider of software to the United States public sector ,"attack only impacted the internal network and phone systems of the company. It seems like the attack managed to cripple the company’s website, email, and phone systems, but fortunately did not appear to spread to any customer systems.",Not communicated,Yes,Sep-20,USA,RansomExx,https://heimdalsecurity.com/blog/the-tyler-technology-ransomware-attack-overview/
Arthur J. Gallagher & Co,Insurance (Finance?),insurance brokers,"personally identifiable information of thousands of employees and other consumers, including Social Security numbers, driver’s licenses, passports, dates of birth, usernames and passwords, employee identification numbers, financial account information, electronic signatures and medical records.",Not communicated,Not communicated,Sep-20,USA,Not communicated,https://www.bleepingcomputer.com/news/security/us-insurance-giant-ajg-reports-data-breach-after-ransomware-attack/
eResearchTechnology (ERT),healthcare,Clinical trial health tech firm,"ransomware attack disrupted clinical trials being run to develop tests, treatments, and a vaccine for COVID-19",Not communicated,Not communicated,Sep-20,USA,Not communicated,https://www.fiercebiotech.com/cro/amid-a-tough-year-ransomware-attacks-and-a-ceo-departure-ert-merges-bioclinica
CMA CGM,logistics,French carrier container line,the company’s booking system was disabled by ‘an internal IT infrastructure issue’,Not communicated,Not communicated,Sep-20,France,Ragnar Locker,https://lloydslist.maritimeintelligence.informa.com/LL1134044/CMA-CGM-confirms-ransomware-attack
SegurCaixa Adeslas ,Insurance (Finance?),medical insurance services,"million of users impacted, servers and websites were down",Not communicated,Not communicated,Sep-20,Spain,Not communicated,https://www.europapress.es/economia/finanzas-00340/noticia-segurcaixa-adeslas-activa-plan-contingencia-ataque-ransomware-20200910191611.html
ArbiterSports,Technology ,all-in-one event management software for high school and college athletic events and other school events.,"details of approximately 540,000 sports referees, league officials and game officials have been stolen by hackers",Not communicated,Yes,Sep-20,USA,Not communicated,https://www.zdnet.com/article/details-of-540000-sports-referees-taken-in-failed-ransomware-attack/
SOPRA STERIA ,Technology ,IT outsourcer," IT teams which contained the ransomware to ""a limited part of the Group’s infrastructure"" thus protecting the company's data, as well as its customers and partners. But recovery costs are expected to be around €50 million following loss caused loss by attack",Not communicated,Not communicated,Oct-20,France,RYUK,https://www.theregister.com/2020/10/22/sopra_steria_ryuk_ransomware_reports/
Software AG ,Technology ,second-largest software vendor in Germany. ,"the gang published screenshots of the company’s data on the dark web, showing employee passport and ID scans, employee emails, financial documents, and directories from the company’s internal network. Suffered double extortion",$20 million,No,Oct-20,Germany,Clop ,https://www.zdnet.com/article/german-tech-giant-software-ag-down-after-ransomware-attack/
Ardonagh Group,Insurance (Finance?),UK’s second largest privately owned insurance broker,the firm was forced to suspend 200 internal accounts with admin privileges as the incident progressed through its IT estate,Not communicated,Not communicated,Oct-20,UK,Not communicated,https://www.theregister.com/2020/10/06/ardonagh_group_ransomware/
Daniel B. Hastings,customs broker,customs broker and freight forwarder,"files leaked include completed U.S. Customs and Border Protection documents for shipments involving multiple countries, companies and modes.",Not communicated,Not communicated,Oct-20,USA,Conti,https://swanleap.com/articles/supply-chain-cyber-security-scares-just-in-time-for-halloween/
Daseke,logistics,trucking company ,Thousands of internal documents exposing the personal information of their drivers and other sensitive data was posted to the Dark Web. ,Not communicated,Not communicated,Oct-20,USA,Conti,https://www.freightwaves.com/news/truckers-personal-information-exposed-after-daseke-ransomware-attack
Seyfarth Shaw ,legal,"Leading global legal firm, with clients including over 300 of the Fortune 500 companies","found no evidence that client or internal data was removed or accessed, many computer systems were encrypted, forcing the IT team to “shut them down as a precautionary measure",Not communicated,Not communicated,Oct-20,USA,Not communicated,https://www.bitdefender.co.uk/blog/hotforsecurity/law-firm-seyfarth-shaw-hit-by-apparent-ransomware-attack
